Id,# Confirmed_Cases,# Deaths,# Recovered,# Tested,Date,Lat,Long,Population,Province,Testing_Info
0,0,,0.0,,2020-02-12,53.9333,-116.5765,4428247.0,Alberta,
1,0,,0.0,,2020-02-13,53.9333,-116.5765,4428247.0,Alberta,
2,0,,0.0,,2020-02-14,53.9333,-116.5765,4428247.0,Alberta,
3,0,,0.0,,2020-02-15,53.9333,-116.5765,4428247.0,Alberta,
4,0,,0.0,,2020-02-16,53.9333,-116.5765,4428247.0,Alberta,
5,0,,0.0,,2020-02-17,53.9333,-116.5765,4428247.0,Alberta,
6,0,,0.0,,2020-02-18,53.9333,-116.5765,4428247.0,Alberta,
7,0,,0.0,,2020-02-19,53.9333,-116.5765,4428247.0,Alberta,
8,0,,0.0,,2020-02-20,53.9333,-116.5765,4428247.0,Alberta,
9,0,,0.0,,2020-02-21,53.9333,-116.5765,4428247.0,Alberta,
10,0,,0.0,,2020-02-22,53.9333,-116.5765,4428247.0,Alberta,
11,0,,0.0,,2020-02-23,53.9333,-116.5765,4428247.0,Alberta,
12,0,,0.0,,2020-02-24,53.9333,-116.5765,4428247.0,Alberta,
13,0,,0.0,,2020-02-25,53.9333,-116.5765,4428247.0,Alberta,
14,0,,0.0,,2020-02-26,53.9333,-116.5765,4428247.0,Alberta,
15,0,,0.0,,2020-02-27,53.9333,-116.5765,4428247.0,Alberta,
16,0,,0.0,,2020-02-28,53.9333,-116.5765,4428247.0,Alberta,
17,0,,0.0,,2020-02-29,53.9333,-116.5765,4428247.0,Alberta,
18,0,,0.0,,2020-03-01,53.9333,-116.5765,4428247.0,Alberta,
19,0,,0.0,,2020-03-02,53.9333,-116.5765,4428247.0,Alberta,
20,0,,0.0,,2020-03-03,53.9333,-116.5765,4428247.0,Alberta,
21,0,,0.0,,2020-03-04,53.9333,-116.5765,4428247.0,Alberta,
22,1,,0.0,,2020-03-05,53.9333,-116.5765,4428247.0,Alberta,
23,1,,0.0,,2020-03-06,53.9333,-116.5765,4428247.0,Alberta,
24,0,,0.0,,2020-03-07,53.9333,-116.5765,4428247.0,Alberta,
25,2,0.0,0.0,,2020-03-08,53.9333,-116.5765,4428247.0,Alberta,
26,10,0.0,0.0,,2020-03-09,53.9333,-116.5765,4428247.0,Alberta,
27,0,0.0,0.0,,2020-03-10,53.9333,-116.5765,4428247.0,Alberta,
28,5,0.0,0.0,,2020-03-11,53.9333,-116.5765,4428247.0,Alberta,
29,4,0.0,0.0,,2020-03-12,53.9333,-116.5765,4428247.0,Alberta,
30,6,0.0,0.0,,2020-03-13,53.9333,-116.5765,4428247.0,Alberta,
31,10,0.0,0.0,,2020-03-14,53.9333,-116.5765,4428247.0,Alberta,
32,17,0.0,0.0,7108.0,2020-03-15,53.9333,-116.5765,4428247.0,Alberta,
33,18,0.0,0.0,3490.0,2020-03-16,53.9333,-116.5765,4428247.0,Alberta,
34,23,0.0,0.0,1757.0,2020-03-17,53.9333,-116.5765,4428247.0,Alberta,
35,22,0.0,0.0,2211.0,2020-03-18,53.9333,-116.5765,4428247.0,Alberta,
36,27,1.0,2.0,2447.0,2020-03-19,53.9333,-116.5765,4428247.0,Alberta,
37,49,0.0,1.0,3347.0,2020-03-20,53.9333,-116.5765,4428247.0,Alberta,
